NUM_CERTIFICADO|TASA_INTERES_ANTERIOR|TASA_POOL_ANTERIOR|TASA_INTERES_NUEVA|TASA_POOL_NUEVA|FECHA_CAMBIO_TASA|USUARIO_CAMBIO_TASA
AA25280VC8KX|3.65|4.5|3.65|4.5|20260302|USERVINPUTTER01
AA2528097Z12|3.3|4.45|3.3|4.45|20260302|USERVINPUTTER01
AA25280L3BW0|3|9.9|3.11|10.01|20260302|USERVINPUTTER01
AA2528099HLM|10.5|11.35|8|8.85|20260302|USERVINPUTTER01
AA25280LDG25|8.15|11.35|5.65|8.85|20260302|USERVINPUTTER01
AA25280M91W9|10.11|10.11|10.11|10.11|20260302|USERVINPUTTER01
AA25280LMY5Y|8.6|10|8.6|10|20260302|USERVINPUTTER01
AA25280N0PFF|10.45|11.35|7.95|8.85|20260302|USERVINPUTTER01
AA25280P0704|2.53|6.9|4.48|8.85|20260302|USERVINPUTTER01
AA25280VH6NC|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA25280JZD13|4.4|10.9|4.4|10.9|20260302|USERVINPUTTER01
AA25280N7X2T|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280LWJL0|9.5|12.7|5.65|8.85|20260302|USERVINPUTTER01
AA25280LBRN6|5.7|11.5|4.21|10.01|20260302|USERVINPUTTER01
AA25280NR2FS|3|7.85|4|8.85|20260302|USERVINPUTTER01
AA252800C4ZK|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA25280KZDH3|5.19|8.7|6.5|10.01|20260302|USERVINPUTTER01
AA25280NVWTQ|3.85|7.7|5|8.85|20260302|USERVINPUTTER01
AA25280L65DS|0.31|0|4.51|4.2|20260302|USERVINPUTTER01
AA25280VFRX7|6.8|11|6.8|11|20260302|USERVINPUTTER01
AA25280LBRXQ|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280LX8C9|9.1|12.7|5.25|8.85|20260302|USERVINPUTTER01
AA25280VFYXN|2.5|2.45|4.25|4.2|20260302|USERVINPUTTER01
AA25280VM9CY|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA252809G4B0|6.83|10.5|5.18|8.85|20260302|USERVINPUTTER01
AA25280M275Z|4.5|5.35|3.35|4.2|20260302|USERVINPUTTER01
AA25280NRSH8|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280NVHN5|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA2528001MHX|2.7|8|3.55|8.85|20260302|USERVINPUTTER01
AA25280NXTB5|5.15|10.9|5.15|10.9|20260302|USERVINPUTTER01
AA2528003JKB|4|4.5|4|4.5|20260302|USERVINPUTTER01
AA25280KMZJB|5.5|11.35|3|8.85|20260302|USERVINPUTTER01
AA25280M9DY2|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25280JT7WZ|4.75|10.9|4.75|10.9|20260302|USERVINPUTTER01
